"ID" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"1559735_at" -0.00044637171954704 5.87031954899241 -5.78744702327808 1.2488806857094e-06 0.0549157815120137 0.242210191135523
"239362_at" 0.000234000819695149 8.85799603318217 5.52040672907324 2.86396623506947e-06 0.0629671616442373 -0.586937192631519
"234406_at" 0.000275640938186521 10.130305365082 4.93400805526814 1.75763406737674e-05 0.222582913167388 -2.39141598672817
"216018_at" 0.000343871092401898 8.3702036188212 4.88797658608497 2.02476951848802e-05 0.222582913167388 -2.53158823540083
"212826_s_at" 0.000285181186278256 8.57469120368548 4.65152354549688 4.17430445472911e-05 0.231350259419169 -3.24690893125022
"226071_at" -0.000254312028263062 8.10324289467363 -4.60241490413891 4.84727484678741e-05 0.231350259419169 -3.39436780569769
"216256_at" -0.000335579223849243 6.38879203755371 -4.59928099767299 4.89368126457915e-05 0.231350259419169 -3.40376389010558
"216255_s_at" -0.000335579223849243 6.38879203755371 -4.59928099767299 4.89368126457915e-05 0.231350259419169 -3.40376389010558
"212876_at" 0.000259904853808293 7.73896032011148 4.52153151212198 6.19607557607564e-05 0.231350259419169 -3.63630846878275
"218706_s_at" 0.000249960680673812 7.31800043994227 4.4964495709501 6.6849851283863e-05 0.231350259419169 -3.71108849658371
